Flow ID, Source IP, Source Port, Destination IP, Protocol, Timestamp, Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets,Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count,Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Label
192.168.10.12-172.16.0.5-10168-25-6,192.168.10.12,10168,172.16.0.5,6,3/7/2017 8:47:17,25,99410741,35,5,29524.625622451982,3178.2679481783593,140.54285979238867,23.266089339073957,451.51404678748526,280.62253146930647,1074.0294193836053,70.13249735902359,314.63986572124406,224.6045231419268,278190.70823066274,43465.016039646696,0,1,0,0,0,0,1076568.8105379438,2290482.387019572,1022102.7651984871,37992.73006373374,1794896.902423142,1031867.1674369134,2645208.6722201305,4345.044292309719,2297124.3983592126,374478.4885596281,9222953.7202816,7880.019807845817,1.4658914070354645,628.6397994944434,664.0888109526051,271.22626962523236,BENIGN
192.168.10.12-205.174.165.68-6253-80-6,192.168.10.12,6253,205.174.165.68,6,3/7/2017 9:02:42,80,51019678,18,29,31784.222213220008,36483.21789700843,555.271450675324,20.95070307714877,200.233366536835,468.32729385624697,972.0530778698903,60.913100566698816,128.35398614857274,364.5633989751746,163402.4937619284,18972.77208788239,0,1,0,0,0,0,4025229.0038560717,1203494.3610669868,661886.0521154724,91313.6124185545,2835900.2573925112,2153742.812156928,2126265.440541406,49923.12594922773,4423415.769433512,1928555.6106012727,1428715.9044206266,13963.031952550631,3.7249449104580328,538.9772896672904,560.2603587391934,321.3253704709348,BENIGN
192.168.10.50-172.16.0.1-50554-80-6,192.168.10.50,50554,172.16.0.1,6,3/7/2017 13:14:08,80,20514014,41,10,39603.968218148206,42215.996679968404,95.29155922793569,38.16192865065368,747.0910351800726,264.5571725495685,1456.6175664204272,86.07797022344981,8.610766457114726,360.36090968009734,681710.3690265748,26848.516520439756,0,1,0,0,1,0,790788.7717233486,9735.948305187869,7220920.6130991075,71968.06688859242,4859440.494350571,2285886.597156194,5076816.746043252,10641.082279770497,3126500.9678320875,2525008.044517401,5076628.819776342,19891.110176473303,1.8695692629557397,161.5490357531534,715.124810740127,691.825560463706,BENIGN
192.168.10.1-172.16.0.1-61913-21655-17,192.168.10.1,61913,172.16.0.1,17,3/7/2017 17:20:31,21655,249565,1,2,43900.47996020203,94694.94452979941,128.48017810181815,48.59904633166138,51.90938885128771,380.3010826286158,1148.7516439604817,12.83914644997628,356.46178357404847,274.90179674747196,265056.6289400591,43621.65205426287,1,1,1,1,0,0,3564744.864095609,1196976.8999922874,6716869.59638283,37342.05025292938,4498070.423214727,1354458.4241733893,2479056.1366600795,6402.589632634492,105171.30003529441,1661764.5672734394,5884401.14410351,719.083898509354,3.53920473274227,58.873766876323394,50.550246082730624,23.5597185397636,PortScan
192.168.10.50-172.16.0.5-52444-53-17,192.168.10.50,52444,172.16.0.5,17,3/7/2017 11:34:08,53,25556386,7,6,32949.13747573315,35429.75665895538,616.6534140746071,86.38367483696032,40.628390424127886,326.7277441328958,969.2696269424766,6.061267407701365,546.160191330887,400.2962554308494,109269.032244804,9579.503607082701,1,0,0,0,1,0,2313140.342004837,2623457.8622117396,753848.8837428936,80802.22447317025,4279834.462341864,293726.18460480106,6521448.93998522,54058.793810030504,73789.28247825267,279788.3285515078,7535655.040196756,23637.949054174944,2.03207028976236,481.3584179710395,648.4877955226616,676.8321491329115,BENIGN
192.168.10.50-205.174.165.68-28746-443-17,192.168.10.50,28746,205.174.165.68,17,3/7/2017 8:24:16,443,25487660,19,13,48435.46824845794,57918.029081625624,813.2928020614114,74.7975560379064,42.87395468061231,292.08879722948564,754.2755743792703,85.27198920482853,118.07454595461245,480.3894516372252,80111.46524058688,9291.248049036161,0,0,0,0,0,0,2894595.287536053,119224.98686719318,819834.0549487548,65737.31644725225,2826134.6192204473,949109.5379301814,2607656.9560363283,66972.59747698292,1570919.3139778804,796843.5375940615,1308782.8212745644,64550.07888376495,2.28612286285226,929.0183317055141,701.8007155836175,6.9865926631847985,BENIGN
192.168.10.12-205.174.165.68-9704-80-17,192.168.10.12,9704,205.174.165.68,17,3/7/2017 17:06:04,80,118013654,16,23,14249.369560832836,43818.457300770984,814.8269433923803,30.251714297888988,737.8899826886117,403.54997163257116,793.4110389034051,66.78632037125836,415.9517118672583,465.87801971803873,103586.5019182115,43906.348248679606,0,0,0,1,0,0,1361741.0615740817,1814489.4810906718,7176121.871387979,20359.731232745293,3171189.7944253986,791951.7048912282,4885318.5214937655,90533.64910793232,4230518.5664742775,276895.4031382003,4235757.725637264,27668.022397225166,0.0177284454389115,771.119223019627,477.8350329760347,196.46644682576115,BENIGN
192.168.10.1-172.16.0.1-5955-22-6,192.168.10.1,5955,172.16.0.1,6,3/7/2017 16:45:27,22,4835614,24,37,27626.254837249882,42978.671288077174,62.74328725328676,36.465151532725606,699.8160078904906,486.0981325086302,59.84231716682725,35.78092322504261,511.55001623293236,333.4667053177715,353678.6346146183,27994.175957193485,1,0,0,0,0,0,4407081.023316622,74359.08569456618,7365644.717550821,33218.54679464287,4654079.430241628,2406705.416811417,8640640.283752793,81074.9316574389,1334028.5479723602,2362123.5274064136,1080956.264029571,87216.67829060898,4.292966256688908,222.43371754566442,612.4399541976967,345.22742600920657,BENIGN
192.168.10.12-205.174.165.73-22536-80-17,192.168.10.12,22536,205.174.165.73,17,3/7/2017 11:14:01,80,103794144,18,22,32074.086930381385,39967.83843600609,1471.7245307973901,53.62157324787219,704.4278552435368,57.670875925713794,1455.600916533342,17.856781617246366,721.9007368211666,132.7331812614843,108402.5472147111,21728.18792823222,0,1,1,1,0,0,1925977.1667236357,1729764.1304897985,2547225.061385819,70878.52838341706,8456.391093147331,2776725.4964972483,5384519.970927919,71942.99991448455,3709750.3891973826,2011885.5132989984,3642214.717812642,6997.381112631018,3.321188424556362,330.2000360425964,235.43673379376975,636.0114596297516,BENIGN
192.168.10.25-205.174.165.68-27395-22-17,192.168.10.25,27395,205.174.165.68,17,3/7/2017 12:32:19,22,17084279,13,26,33246.47171063857,37914.527712254174,1122.201840238335,17.402734320994394,426.828941149357,203.03758437908144,1250.5877539560863,30.38749492683538,157.63701366198143,392.87941373879005,606661.5704797626,16112.461486826907,1,1,0,1,1,0,3968676.9955300097,2879496.0110491086,7359614.4594022175,65885.07449984217,1418932.0249651372,1991561.5089149962,6192608.0536237545,9338.720007556267,4759998.312262376,704605.7955800518,3104194.6429491527,80656.28945762658,0.7367698112288634,46.21371809275843,737.9520170863885,458.4554797955101,BENIGN
